ID,Site,MAT,MAP,Plot,Myco,ECM,LitCN,LitLCI,LitLigN,LitSol,LitLig,Froot,Croot,Sand,Silt,Clay,Feo,Alo,Gwc,Whc,Nmin,Nit,SoilT,pH,Glu,Gal,Mur,DOC,CFE,Growth,CUE,ResTime,Cup,N,C,MAOMN,MAOMC
1,HF,9,1050,1,AM,0,47.80343591,0.3286994,23.11708094,29.68103673,22.70937364,13.90581301,16.56128141,60,31,9,6.23,3.47,0.8,1.65,1.89,1.48,17.9,4.03,2855.7,1038.4,128,59.85,2235.73,11.24,0.18,198.8,61.3,0.0065,0.1031,0.0014,0.02
2,HF,9,1050,2,AM,0,47.78980245,0.326389368,23.27659965,28.69032774,22.92411016,12.07947821,7.426551617,69,25,6,5.02,3.59,0.35,0.95,0.47,0.12,17.8,4.13,2247.6,820.5,125.1,84.45,977.62,2.22,0.1,440.5,23,0.0038,0.049,0.0018,0.021
3,HF,9,1050,3,AM,35.68184919,66.70632955,0.408235778,27.85632705,46.61019966,22.34054759,8.56839284,16.81083636,62,31,7,7.04,3.19,0.79,1.99,1.22,0.05,16.4,3.21,3733.8,1048,116,130.5,1983.16,12.66,0.2,156.7,64,0.0053,0.1199,0.0013,0.0269
4,HF,9,1050,4,MIX,47.47147451,40.59896418,0.40080681,20.8594968,35.89579066,25.41231636,8.74868356,5.080735079,68,22,10,5.56,1.9,0.64,2.34,0.59,0.18,17.3,3.38,2782.1,1108.8,106.5,208.53,2387.08,23.28,0.2,102.5,114.3,0.0103,0.1955,0.002,0.0327
5,HF,9,1050,5,MIX,69.96383086,37.56473916,0.431976884,19.71596614,37.28620758,27.06468205,4.920816192,7.094490743,68,24,8,5.53,2.46,0.35,1.64,0.41,0.21,16.7,3.62,2167.8,616.2,105.7,149.4,1513.51,12.52,0.18,120.9,69.1,0.0063,0.1227,0.0024,0.0413
6,HF,9,1050,6,MIX,57.93967772,62.9218441,0.394005697,27.6492498,43.08085085,22.2821231,9.221310079,40.65708514,59,34,7,2.56,0.58,1.28,3.8,-0.01,0.04,16.7,3.03,4723.9,1209.8,110,185.16,2283.31,16.15,0.17,141.4,97.2,0.0104,0.2597,0.0003,0.0055
7,HF,9,1050,7,ECM,88.84331698,47.2966506,0.445898682,25.92938741,36.59491883,28.31327955,7.70258995,7.149494692,62,27,11,4.59,2.13,0.76,3.48,0.38,0.39,16.9,3.42,1981.8,487.5,54.8,263.47,2293,23.2,0.27,98.8,85.8,0.0039,0.0887,0.0009,0.0182
8,HF,9,1050,8,ECM,90.96977083,30.96630607,0.452996199,18.3274247,34.97304271,29.42697174,7.576284587,21.74081987,64,29,7,4.35,2.27,0.49,1.75,-0.26,-0.28,16.7,3.87,1337.4,497.1,49.6,176.26,1361.98,10.74,0.17,126.8,62.2,0.0067,0.145,0.0013,0.0255
9,HF,9,1050,9,ECM,85.69791103,52.10921255,0.435458054,28.24379858,36.10807253,27.89392526,3.395984514,44.00417726,58,34,8,4.92,2.39,0.32,1.35,1.29,0.21,16.5,4.29,455.8,141.4,49.7,98.06,1253.03,5.15,0.11,243.4,46.3,0.0036,0.0939,0.0017,0.034
10,LDW,11.6,1203,1,MIX,10.79,44.66027797,0.319955265,19.81623405,35.21424269,20.48761497,2.42832246,1.773368038,7,85,8,1.03,0.72,0.42,0.88,2.34,2.17,20.7,5.86,1778.6,695.1,46.7,26.8,890.26,5.2,0.16,171.2,31.8,0.003,0.0323,0.0016,0.0162
11,LDW,11.6,1203,2,MIX,53,46.73693537,0.313435866,18.85452834,38.72185358,18.64675872,4.473654464,4.432910799,21,69,10,1.64,0.52,0.43,0.8,0.56,0.88,20.6,4.17,1684.4,709.4,49.6,38.05,739.38,4.58,0.16,161.3,29.5,0.0026,0.0341,0.0015,0.0175
12,LDW,11.6,1203,3,AM,0.15,45.91511532,0.291011091,17.02727813,38.46754773,17.35409062,7.87065757,1.628728026,28,64,8,1.05,0.45,0.29,0.71,1,1.15,20.4,4.99,1416.7,532.3,31.1,24.52,670.25,5.87,0.17,114.2,35.3,0.0021,0.027,0.0011,0.0114
13,LDW,11.6,1203,4,ECM,97.69,52.80908094,0.367986657,23.97645432,38.53204275,22.00535017,16.94427186,5.108237053,3,87,10,2.27,0.3,0.33,0.85,-0.54,-0.42,20.4,3.43,1387.6,295.6,40,55.97,1096.46,12.07,0.26,90.8,45.7,0.0024,0.0446,0.0008,0.0138
14,LDW,11.6,1203,5,AM,38.67,51.30737988,0.371886061,23.46356668,39.73968334,22.25712286,4.644777859,2.453787251,22,71,7,1.04,1.06,0.23,0.59,-0.65,-0.53,20.6,3.98,1051.1,311.4,29.7,38.87,621.88,5.89,0.17,105.6,34.7,0.0016,0.0188,0.0007,0.0067
15,LDW,11.6,1203,6,ECM,73.75,55.06104595,0.373207587,24.50040264,40.90247107,21.68771769,8.293373099,0.394194963,8,82,10,1.37,1.46,0.27,0.69,-0.53,-0.36,20.5,4.22,1015.1,269.2,27.5,34.31,601.41,7.02,0.17,85.7,41,0.0017,0.0252,0.0008,0.0106
16,LDW,11.6,1203,7,ECM,94.38,53.63335175,0.376235224,24.68428326,39.24407235,22.35195062,12.58775544,0,4,85,11,2.45,2.11,0.39,1.02,-0.48,-0.39,21,3.35,2095.9,566.9,65.6,84.07,1360.8,14.37,0.22,94.7,65.4,0.003,0.0685,0.0012,0.0222
17,LDW,11.6,1203,8,ECM,90.37,52.0763509,0.3616225,23.37995538,38.47231356,21.64170919,20.51647273,2.70843516,12,80,8,2.21,2.44,0.41,1.27,-0.97,-0.75,20.8,3.39,2515.7,549.1,62.9,117.4,1752.84,26.74,0.27,65.5,99.1,0.0041,0.0861,0.0012,0.0203
